Country,Year,Type,Capacity
FR,2019,Solar,8188.0
FR,2019,WindOnShore,13610.0
FR,2019,WindOffShore,0.0
FR,2019,Hydro,10955.0
FR,2019,HydroStorage,8279.0
FR,2019,HydroPumpedStorage,5023.0
FR,2019,Marine,240.0
FR,2019,Nuclear,63130.0
FR,2019,Geothermal,0.0
FR,2019,Biomass,1931.0
FR,2019,Waste,0.0
FR,2019,OtherRenewable,0.0
FR,2019,Lignite,0.0
FR,2019,Coal,3966.0
FR,2019,Gas,11952.0
FR,2019,CoalGas,0.0
FR,2019,Oil,3271.0
FR,2019,ShaleOil,0.0
FR,2019,Peat,0.0
FR,2019,Other,108.0
