Country,Year,Type,Capacity
HU,2019,Solar,936.0
HU,2019,WindOnShore,327.0
HU,2019,WindOffShore,0.0
HU,2019,Hydro,30.0
HU,2019,HydroStorage,28.0
HU,2019,HydroPumpedStorage,0.0
HU,2019,Marine,0.0
HU,2019,Nuclear,1899.0
HU,2019,Geothermal,3.0
HU,2019,Biomass,246.0
HU,2019,Waste,59.0
HU,2019,OtherRenewable,74.0
HU,2019,Lignite,1049.0
HU,2019,Coal,0.0
HU,2019,Gas,4028.0
HU,2019,CoalGas,0.0
HU,2019,Oil,421.0
HU,2019,ShaleOil,0.0
HU,2019,Peat,0.0
HU,2019,Other,0.0
